,Support,Opposition,Neutral,Undecided
0,@SenatorShaheen,@SenJohnBarrasso,@ChrisMurphyCT,@SenTinaSmith
1,@SenatorBennet,@MikeCrapo,@SenTinaSmith,@SteveDaines
2,@SenAngusKing,@SenKevinCramer,@SenToddYoung,@SenatorShaheen
3,,@SenatorRounds,@SenBillCassidy,@SenFettermanPA
4,,@SenatorHagerty,@Sen_JoeManchin,@ChrisCoons
5,,@SenLummis,@SenSherrodBrown,@SenTedBuddNC
6,,@SenKatieBritt,@JDVance1,@PattyMurray
7,,@SteveDaines,@SenatorLankford,@SenBillCassidy
8,,,@SenMikeLee,@SenAmyKlobuchar
9,,,@lisamurkowski,@lisamurkowski
10,,,@SenMullin,@SenatorTimScott
11,,,@SenRandPaul,@SenatorLujan
12,,,@SenatorRicketts,@SenJohnBarrasso
13,,,@SenatorRisch,@SenToddYoung
14,,,@SenatorRomney,@SenJackyRosen
15,,,@SenMarcoRubio,@SenCapito
16,,,@SenEricSchmitt,@ChrisMurphyCT
17,,,@SenRickScott,@RonWyden
18,,,@SenatorTimScott,@SenMikeLee
19,,,@SenDanSullivan,@SenWhitehouse
20,,,@SenJohnThune,@SenMarkey
21,,,@SenThomTillis,@SenatorMenendez
22,,,@SenTuberville,@SenDanSullivan
23,,,@SenAlexPadilla,@SenatorSinema
24,,,@SenMarkey,@maziehirono
25,,,@SenJeffMerkley,@SenatorLankford
26,,,@SenWarren,@marcorubio
27,,,@SenWhitehouse,@SenJohnThune
28,,,,@SenatorHagerty
29,,,,@SenRonJohnson
30,,,,@SenLummis
31,,,,@ChuckGrassley
32,,,,@LindseyGrahamSC
33,,,,@SenJeffMerkley
34,,,,@MarkWarner
35,,,,@MarkWarner
36,,,,@SenatorRounds
37,,,,@SenatorBaldwin
38,,,,@SenatorTester
39,,,,@SenTomCotton
40,,,,@SenThomTillis
41,,,,@SenatorWicker
42,,,,@MartinHeinrich
43,,,,@SenJackReed
44,,,,@SenatorCollins
45,,,,@SenKatieBritt
46,,,,@SenJohnHoeven
47,,,,@SenatorHick
48,,,,@SenDuckworth
49,,,,@SenRickScott
50,,,,@SenatorRomney
51,,,,@Senlaphonza
52,,,,@Sen_JoeManchin
53,,,,@SenCortezMasto
54,,,,@SenKevinCramer
55,,,,@SenGaryPeters
56,,,,@SenStabenow
57,,,,@SenHydeSmith
58,,,,@MikeCrapo
59,,,,@SenatorFischer
60,,,,@timkaine
61,,,,@JohnBoozman
62,,,,@SenatorCantwell
63,,,,@SenatorCardin
64,,,,@SenAlexPadilla
65,,,,@SenSchumer
66,,,,@SenVancePress
67,,,,@SenatorHassan
68,,,,@HawleyMO
69,,,,@SenMarkKelly
70,,,,@SenBlumenthal
71,,,,@SenatorDurbin
72,,,,@SenJohnKennedy
73,,,,@SenTuberville
74,,,,@SenJoniErnst
75,,,,@SenatorWarnock
76,,,,@SenatorBraun
77,,,,@RandPaul
78,,,,@SenBobCasey
79,,,,@SenBrianSchatz
80,,,,@SenatorRisch
81,,,,@JerryMoran
82,,,,@ChrisVanHollen
83,,,,@SenatorRicketts
84,,,,@SenMullin
85,,,,@SenGillibrand
86,,,,@SenatorCarper
87,,,,@SenTedCruz
88,,,,@SenatorBennet
89,,,,@SenEricSchmitt
90,,,,@SenSanders
91,,,,@CoryBooker
92,,,,@SenSherrodBrown
93,,,,@ossoff
94,,,,@JohnCornyn
95,,,,@SenAngusKing
96,,,,@MarshaBlackburn
