,Senator,State,Party
0,"Baldwin, Tammy",WI,D
1,"Barrasso, John",WY,R
2,"Bennet, Michael",CO,D
3,"Blackburn, Marsha",TN,R
4,"Blumenthal, Richard",CT,D
5,"Booker, Cory",NJ,D
6,"Boozman, John",AR,R
7,"Braun, Mike",IN,R
8,"Britt, Katie",AL,R
9,"Brown, Sherrod",OH,D
10,"Budd, Ted",NC,R
11,"Butler, Laphonza",CA,D
12,"Cantwell, Maria",WA,D
13,"Capito, Shelley Moore",WV,R
14,"Cardin, Ben",MD,D
15,"Carper, Tom",DE,D
16,"Casey, Bob",PA,D
17,"Cassidy, Bill",LA,R
18,"Collins, Susan",ME,R
19,"Coons, Chris",DE,D
20,"Cornyn, John",TX,R
21,"Cortez Masto, Catherine",NV,D
22,"Cotton, Tom",AR,R
23,"Cramer, Kevin",ND,R
24,"Crapo, Mike",ID,R
25,"Cruz, Ted",TX,R
26,"Daines, Steve",MT,R
27,"Duckworth, Tammy",IL,D
28,"Durbin, Richard",IL,D
29,"Ernst, Joni",IA,R
30,"Fetterman, John",PA,D
31,"Fischer, Deb",NE,R
32,"Gillibrand, Kirsten",NY,D
33,"Graham, Lindsey",SC,R
34,"Grassley, Chuck",IA,R
35,"Hagerty, Bill",TN,R
36,"Hassan, Maggie",NH,D
37,"Hawley, Josh",MO,R
38,"Heinrich, Martin",NM,D
39,"Hickenlooper, John",CO,D
40,"Hirono, Mazie",HI,D
41,"Hoeven, John",ND,R
42,"Hyde-Smith, Cindy",MS,R
43,"Johnson, Ron",WI,R
44,"Kaine, Tim",VA,D
45,"Kelly, Mark",AZ,D
46,"Kennedy, John",LA,R
47,"King, Angus",ME,I
48,"Klobuchar, Amy",MN,D
49,"Lankford, James",OK,R
50,"Lee, Mike",UT,R
51,"Luján, Ben Ray",NM,D
52,"Lummis, Cynthia",WY,R
